Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,leaf1,Ethernet1/1,server,host1,leaf1_Ethernet1/1,True
l3leaf,leaf1,Ethernet49/1,spine,spine1,Ethernet1/1,True
l3leaf,leaf2,Ethernet1/2,server,host2,leaf2_Ethernet1/2,True
l3leaf,leaf2,Ethernet49/1,spine,spine1,Ethernet2/1,True
spine,spine1,Ethernet1/1,l3leaf,leaf1,Ethernet49/1,True
spine,spine1,Ethernet2/1,l3leaf,leaf2,Ethernet49/1,True
